[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF14.D
1=,INT TIC: 15u_fuyaF14.D\data.ms
[INT TIC: 15u_fuyaF14.D\data.ms]
Time=,Fri Jul 22 16:16:23 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.332, 2872,2949,3054,"BB 5", 514950, 35289423, 14.49,  5.646
2=,  2, 14.458, 3601,3627,3647,"  M5",  36263,  1736801,  0.71,  0.278
3=,  3, 14.576, 3664,3665,3685,"  M5",   6632,   142482,  0.06,  0.023
4=,  4, 15.050, 3766,3816,3895,"BB 6", 107341,  6733997,  2.76,  1.077
5=,  5, 16.892, 4333,4404,4426,"BV 6",  49079,  4138008,  1.70,  0.662
6=,  6, 17.079, 4426,4463,4489,"VV 6", 312193, 22135687,  9.09,  3.541
7=,  7, 17.309, 4489,4537,4601,"VV 5",3259033,243610511,100.00, 38.972
8=,  8, 17.597, 4601,4629,4680,"VV 10", 237305, 19229985,  7.89,  3.076
9=,  9, 17.909, 4680,4728,4887,"VB 6",1078296, 85495982, 35.10, 13.677
10=, 10, 20.056, 5374,5413,5432,"  M6",   9703,   572619,  0.24,  0.092
11=, 11, 20.213, 5437,5463,5504,"  M6",  12768,   999424,  0.41,  0.160
12=, 12, 20.363, 5510,5511,5549,"  M6",   6640,   199606,  0.08,  0.032
13=, 13, 20.856, 5640,5668,5680,"  M6",  11171,   601839,  0.25,  0.096
14=, 14, 22.746, 6239,6271,6277,"  M6",  11488,   397292,  0.16,  0.064
15=, 15, 22.896, 6289,6319,6352,"  M6",  81081,  6164859,  2.53,  0.986
16=, 16, 23.137, 6353,6396,6463,"  M10", 302945, 27257974, 11.19,  4.361
17=, 17, 23.391, 6472,6477,6512,"  M10",  19241,   844792,  0.35,  0.135
18=, 18, 23.716, 6531,6581,6699,"BB 7", 215222, 19263703,  7.91,  3.082
19=, 19, 26.586, 7419,7496,7680,"BB 5", 618521, 74218392, 30.47, 11.873
20=, 20, 28.413, 8044,8079,8090,"  M5",   7581,   401710,  0.16,  0.064
21=, 21, 28.952, 8221,8251,8282,"  M5",   9812,   749634,  0.31,  0.120
22=, 22, 29.478, 8328,8419,8534,"BB 5",  60830,  8753603,  3.59,  1.400
23=, 23, 33.802, 9761,9798,9855,"  M5",  19252,  1738962,  0.71,  0.278
24=, 24, 34.735, 10074,10096,10150,"  M5",  17079,  1347634,  0.55,  0.216
25=, 25, 37.364, 10849,10934,11185,"BB 10", 374321, 63062551, 25.89, 10.089
