[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF11.D
1=,INT TIC: 15u_fuyaF11.D\data.ms
[INT TIC: 15u_fuyaF11.D\data.ms]
Time=,Fri Jul 22 16:09:07 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.340, 2886,2952,3135,"BB 4",2984123,187749617, 14.91,  6.023
2=,  2, 14.439, 3506,3621,3649,"BV 8", 322025, 21271228,  1.69,  0.682
3=,  3, 14.578, 3649,3666,3704,"VV 8", 124368,  7178881,  0.57,  0.230
4=,  4, 15.051, 3761,3817,3929,"BB 5", 837728, 52353820,  4.16,  1.680
5=,  5, 16.887, 4326,4402,4429,"BV 5", 378384, 34705708,  2.76,  1.113
6=,  6, 17.106, 4429,4472,4495,"VV 8",1395059,113517160,  9.02,  3.642
7=,  7, 17.448, 4495,4581,4614,"VV 5",13792717,1258798341,100.00, 40.382
8=,  8, 17.640, 4614,4643,4689,"VV 7",1876838,104174223,  8.28,  3.342
9=,  9, 17.987, 4689,4753,4855,"VV 5",5924206,395215960, 31.40, 12.679
10=, 10, 20.061, 5344,5415,5434,"VV 5", 158602, 13606690,  1.08,  0.437
11=, 11, 20.176, 5434,5451,5483,"VV 5", 131108,  9559800,  0.76,  0.307
12=, 12, 20.350, 5483,5507,5589,"VB 5",  81327,  6768427,  0.54,  0.217
13=, 13, 20.799, 5589,5650,5750,"BB 5", 102816,  8002461,  0.64,  0.257
14=, 14, 22.718, 6201,6262,6263,"  M5",  93930,  5184989,  0.41,  0.166
15=, 15, 22.874, 6267,6312,6343,"  M5", 805769, 61864809,  4.91,  1.985
16=, 16, 23.115, 6346,6389,6456,"VV 6",2394028,169399144, 13.46,  5.434
17=, 17, 23.413, 6456,6484,6518,"VV 6",  85369,  7008290,  0.56,  0.225
18=, 18, 23.694, 6518,6574,6718,"VB 4",1551148,115157529,  9.15,  3.694
19=, 19, 26.567, 7366,7490,7685,"BB 5",2729903,205704616, 16.34,  6.599
20=, 20, 28.330, 7970,8053,8108,"BV 5",  36759,  4167244,  0.33,  0.134
21=, 21, 28.820, 8162,8209,8319,"BV 5", 125287, 12215116,  0.97,  0.392
22=, 22, 29.373, 8319,8385,8589,"PV 6", 729085, 79947274,  6.35,  2.565
23=, 23, 33.764, 9674,9786,9910,"BV 8", 139628, 14578654,  1.16,  0.468
24=, 24, 34.730, 10031,10094,10248,"BV 8", 216348, 20315366,  1.61,  0.652
25=, 25, 37.328, 10836,10923,11135,"BV 7",2061778,208748592, 16.58,  6.697
