[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF9.D
1=,INT TIC: 15u_fuyaF9.D\data.ms
[INT TIC: 15u_fuyaF9.D\data.ms]
Time=,Fri Jul 22 16:03:39 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.336, 2887,2950,3080,"BB 6",1401982, 90532485, 17.77,  8.522
2=,  2, 14.443, 3510,3622,3654,"BV 6", 108592,  7101615,  1.39,  0.668
3=,  3, 14.583, 3654,3667,3704,"VV 6",  39161,  1924646,  0.38,  0.181
4=,  4, 15.048, 3766,3815,3901,"BB 4", 244872, 15202330,  2.98,  1.431
5=,  5, 16.844, 4336,4388,4423,"BV 4",  50720,  4071515,  0.80,  0.383
6=,  6, 17.083, 4423,4465,4488,"VV 4", 358635, 25203358,  4.95,  2.372
7=,  7, 17.353, 4488,4551,4602,"VV 5",7115831,509529411,100.00, 47.961
8=,  8, 17.608, 4602,4632,4686,"VV 8", 766128, 52685876, 10.34,  4.959
9=,  9, 17.912, 4686,4729,4867,"VB 6",1648821,115796682, 22.73, 10.900
10=, 10, 20.062, 5353,5415,5419,"  M6",  28518,  1728348,  0.34,  0.163
11=, 11, 20.206, 5448,5461,5480,"  M6",  24445,  1175475,  0.23,  0.111
12=, 12, 20.319, 5492,5497,5531,"  M6",  16211,   794511,  0.16,  0.075
13=, 13, 20.815, 5629,5655,5699,"  M6",  18212,  1366901,  0.27,  0.129
14=, 14, 22.702, 6212,6257,6265,"  M6",   9151,   531863,  0.10,  0.050
15=, 15, 22.907, 6278,6322,6349,"  M6",  75410,  5774177,  1.13,  0.544
16=, 16, 23.131, 6350,6394,6475,"VV 6", 310418, 29668450,  5.82,  2.793
17=, 17, 23.467, 6475,6501,6530,"  M6",  20321,  1353717,  0.27,  0.127
18=, 18, 23.722, 6534,6582,6697,"VV 7", 294316, 26066785,  5.12,  2.454
19=, 19, 26.577, 7389,7493,7733,"BB 8", 696137, 74965821, 14.71,  7.056
20=, 20, 28.385, 8043,8070,8102,"  M8",   9862,   521973,  0.10,  0.049
21=, 21, 28.877, 8198,8227,8278,"  M8",  16029,  1508930,  0.30,  0.142
22=, 22, 29.436, 8307,8405,8562,"BV 10", 156636, 21400348,  4.20,  2.014
23=, 23, 33.806, 9676,9799,9878,"BV 10",  32027,  3030624,  0.59,  0.285
24=, 24, 34.781, 9996,10110,10200,"BV 10",  42912,  4483439,  0.88,  0.422
25=, 25, 37.355, 10826,10931,11223,"PV 8", 370431, 65956145, 12.94,  6.208
