[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF10.D
1=,INT TIC: 15u_fuyaF10.D\data.ms
[INT TIC: 15u_fuyaF10.D\data.ms]
Time=,Fri Jul 22 16:07:55 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.327, 2815,2948,3070,"BV 6",1188247, 78130339, 17.16,  6.032
2=,  2, 14.444, 3594,3623,3650,"  M6",  79472,  4265953,  0.94,  0.329
3=,  3, 14.588, 3655,3669,3689,"  M6",  17898,   731594,  0.16,  0.056
4=,  4, 15.052, 3741,3817,3897,"BB 7", 221820, 13871933,  3.05,  1.071
5=,  5, 16.889, 4325,4403,4427,"BV 7", 134294, 11842801,  2.60,  0.914
6=,  6, 17.075, 4427,4462,4489,"VV 8", 523838, 37414139,  8.22,  2.889
7=,  7, 17.341, 4489,4547,4601,"VV 5",6426292,455344309,100.00, 35.157
8=,  8, 17.606, 4601,4631,4682,"VV 8", 552402, 38140909,  8.38,  2.945
9=,  9, 17.920, 4682,4732,4868,"VB 4",2520506,172303028, 37.84, 13.303
10=, 10, 20.027, 5379,5404,5416,"  M4",  20136,  1067672,  0.23,  0.082
11=, 11, 20.184, 5431,5454,5476,"  M4",  32183,  1947348,  0.43,  0.150
12=, 12, 20.325, 5496,5499,5527,"  M4",  11845,   447807,  0.10,  0.035
13=, 13, 20.807, 5595,5653,5717,"BB 4",  38352,  2829267,  0.62,  0.218
14=, 14, 22.733, 6204,6267,6270,"  M4",  39657,  2600122,  0.57,  0.201
15=, 15, 22.877, 6275,6313,6344,"  M10", 288898, 21677027,  4.76,  1.674
16=, 16, 23.111, 6346,6388,6469,"VV 7", 938119, 74554442, 16.37,  5.756
17=, 17, 23.432, 6471,6490,6511,"  M7",  38839,  2339478,  0.51,  0.181
18=, 18, 23.696, 6519,6574,6715,"VB 4", 745556, 60116099, 13.20,  4.642
19=, 19, 26.563, 7413,7489,7645,"BV 5",1430216,122673146, 26.94,  9.472
20=, 20, 28.325, 8028,8051,8083,"  M5",  23934,  1971721,  0.43,  0.152
21=, 21, 28.834, 8154,8213,8305,"BB 5",  47886,  5583148,  1.23,  0.431
22=, 22, 29.389, 8307,8390,8535,"BV 9", 380007, 45120543,  9.91,  3.484
23=, 23, 33.777, 9705,9790,9906,"BB 10",  90150,  9136022,  2.01,  0.705
24=, 24, 34.743, 9995,10098,10210,"BB 10", 106102, 10102432,  2.22,  0.780
25=, 25, 37.328, 10816,10923,11225,"BV 6", 938382,120969887, 26.57,  9.340
