[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF8.D
1=,INT TIC: 15u_fuyaF8.D\data.ms
[INT TIC: 15u_fuyaF8.D\data.ms]
Time=,Fri Jul 22 16:01:14 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.339, 2885,2951,3080,"VB 6",3298180,211335846, 18.52,  8.142
2=,  2, 14.439, 3508,3621,3650,"BV 10", 277627, 18173344,  1.59,  0.700
3=,  3, 14.575, 3650,3665,3705,"VV 10",  91804,  4671957,  0.41,  0.180
4=,  4, 15.045, 3757,3815,3927,"BB 6", 717988, 45390797,  3.98,  1.749
5=,  5, 16.857, 4325,4392,4425,"BV 8", 132358, 11520598,  1.01,  0.444
6=,  6, 17.099, 4425,4470,4492,"VV 8", 726809, 58503622,  5.13,  2.254
7=,  7, 17.434, 4492,4577,4612,"VV 4",12784266,1141081198,100.00, 43.963
8=,  8, 17.639, 4612,4642,4688,"VV 6",2110456,117381832, 10.29,  4.522
9=,  9, 17.968, 4688,4747,4845,"VB 4",4786350,310073155, 27.17, 11.946
10=, 10, 20.046, 5355,5410,5432,"  M4",  71554,  6293330,  0.55,  0.242
11=, 11, 20.182, 5434,5453,5469,"  M4",  63578,  3677724,  0.32,  0.142
12=, 12, 20.337, 5489,5503,5528,"  M4",  30384,  1611097,  0.14,  0.062
13=, 13, 20.798, 5591,5650,5715,"BB 10",  74725,  5604477,  0.49,  0.216
14=, 14, 22.667, 6197,6246,6255,"  M10",  23683,  1684624,  0.15,  0.065
15=, 15, 22.869, 6260,6310,6344,"BV 10", 294158, 21442461,  1.88,  0.826
16=, 16, 23.110, 6344,6387,6457,"VV 8",1280240, 93545404,  8.20,  3.604
17=, 17, 23.422, 6457,6487,6520,"VV 8",  52680,  3965866,  0.35,  0.153
18=, 18, 23.699, 6520,6575,6725,"VB 5",1162852, 85001502,  7.45,  3.275
19=, 19, 26.561, 7410,7488,7666,"BB 2",2136439,166390509, 14.58,  6.411
20=, 20, 28.310, 8014,8046,8068,"  M2",  26939,  1846510,  0.16,  0.071
21=, 21, 28.837, 8148,8214,8282,"BB 2",  47382,  4607843,  0.40,  0.178
22=, 22, 29.362, 8304,8382,8573,"BB 8", 770159, 84134155,  7.37,  3.241
23=, 23, 33.767, 9718,9787,9878,"BB 8",  67146,  6610017,  0.58,  0.255
24=, 24, 34.737, 10023,10096,10225,"BV 8", 258734, 24541722,  2.15,  0.946
25=, 25, 37.319, 10801,10920,11216,"BB 6",1473997,166453344, 14.59,  6.413
