[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF13.D
1=,INT TIC: 15u_fuyaF13.D\data.ms
[INT TIC: 15u_fuyaF13.D\data.ms]
Time=,Fri Jul 22 16:13:44 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.331, 2884,2949,3084,"BB 3",2338451,147789048, 17.48,  7.598
2=,  2, 14.436, 3509,3620,3648,"BV 10", 197677, 12881440,  1.52,  0.662
3=,  3, 14.581, 3648,3667,3695,"VV 10",  78372,  4212205,  0.50,  0.217
4=,  4, 15.045, 3741,3815,3925,"BB 4", 531182, 32298188,  3.82,  1.660
5=,  5, 16.852, 4321,4391,4423,"BV 4", 110718,  9466663,  1.12,  0.487
6=,  6, 17.082, 4423,4464,4490,"VV 10", 630376, 48522366,  5.74,  2.495
7=,  7, 17.395, 4490,4564,4604,"VV 5",10544632,845452318,100.00, 43.465
8=,  8, 17.617, 4604,4635,4683,"VV 7",1445095, 86118605, 10.19,  4.427
9=,  9, 17.934, 4683,4736,4846,"VB 5",3251288,209295133, 24.76, 10.760
10=, 10, 20.049, 5371,5411,5430,"  M5",  61938,  4524803,  0.54,  0.233
11=, 11, 20.178, 5444,5452,5477,"  M5",  55147,  2696972,  0.32,  0.139
12=, 12, 20.330, 5483,5501,5555,"VB 5",  34029,  2504730,  0.30,  0.129
13=, 13, 20.802, 5598,5651,5719,"BB 5",  49109,  3655721,  0.43,  0.188
14=, 14, 22.689, 6206,6253,6258,"  M5",  24302,  1615706,  0.19,  0.083
15=, 15, 22.871, 6267,6311,6342,"  M9", 318187, 24203741,  2.86,  1.244
16=, 16, 23.105, 6346,6386,6448,"  M9",1254203, 91232168, 10.79,  4.690
17=, 17, 23.404, 6462,6481,6513,"  M9",  31096,  1909414,  0.23,  0.098
18=, 18, 23.693, 6526,6573,6705,"BV 10", 697086, 52148449,  6.17,  2.681
19=, 19, 26.562, 7408,7489,7680,"BB 5",1768196,151961784, 17.97,  7.812
20=, 20, 28.388, 8023,8071,8086,"  M5",  15323,  1270803,  0.15,  0.065
21=, 21, 28.860, 8155,8222,8297,"BB 5",  43498,  4968369,  0.59,  0.255
22=, 22, 29.399, 8309,8393,8566,"BB 9", 326827, 41063762,  4.86,  2.111
23=, 23, 33.787, 9681,9793,9849,"BB 9",  27397,  2368192,  0.28,  0.122
24=, 24, 34.732, 10028,10095,10207,"BB 6", 108941, 10131903,  1.20,  0.521
25=, 25, 37.319, 10780,10920,11239,"BB 4",1301674,152846803, 18.08,  7.858
