[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF12.D
1=,INT TIC: 15u_fuyaF12.D\data.ms
[INT TIC: 15u_fuyaF12.D\data.ms]
Time=,Fri Jul 22 16:12:01 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.326, 2889,2947,3040,"BB 5", 494892, 33470773, 16.27,  5.946
2=,  2, 14.441, 3593,3622,3644,"  M5",  27230,  1253020,  0.61,  0.223
3=,  3, 14.572, 3650,3664,3692,"  M5",  14180,   544178,  0.26,  0.097
4=,  4, 15.049, 3763,3816,3887,"BB 6", 123132,  8115700,  3.94,  1.442
5=,  5, 16.865, 4338,4395,4423,"BV 6",  27700,  2073912,  1.01,  0.368
6=,  6, 17.076, 4423,4463,4487,"VV 6", 154128, 10664594,  5.18,  1.894
7=,  7, 17.300, 4487,4534,4605,"VV 7",2712836,205760893,100.00, 36.552
8=,  8, 17.599, 4605,4629,4681,"VV 7", 227961, 17655859,  8.58,  3.136
9=,  9, 17.899, 4681,4725,4852,"VB 6", 750794, 62691812, 30.47, 11.137
10=, 10, 20.081, 5372,5421,5428,"  M6",  10258,   556732,  0.27,  0.099
11=, 11, 20.171, 5445,5450,5487,"  M6",  12851,   705023,  0.34,  0.125
12=, 12, 20.344, 5501,5505,5532,"  M6",   8929,   322886,  0.16,  0.057
13=, 13, 20.827, 5619,5659,5715,"  M6",  16934,  1120169,  0.54,  0.199
14=, 14, 22.698, 6219,6256,6258,"  M6",   4879,   187771,  0.09,  0.033
15=, 15, 22.905, 6283,6322,6349,"  M6",  50380,  3640378,  1.77,  0.647
16=, 16, 23.133, 6352,6395,6446,"  M6", 231655, 18969189,  9.22,  3.370
17=, 17, 23.382, 6472,6474,6515,"  M6",  10306,   503482,  0.24,  0.089
18=, 18, 23.711, 6521,6579,6694,"BB 6", 220007, 18676708,  9.08,  3.318
19=, 19, 26.574, 7410,7492,7705,"BB 6", 755893, 84244314, 40.94, 14.965
20=, 20, 28.403, 8030,8076,8079,"  M6",  10066,   574679,  0.28,  0.102
21=, 21, 28.899, 8203,8234,8282,"  M6",  13857,  1251337,  0.61,  0.222
22=, 22, 29.472, 8303,8417,8547,"BB 10",  93446, 12763538,  6.20,  2.267
23=, 23, 33.790, 9753,9794,9843,"  M10",  28477,  2608875,  1.27,  0.463
24=, 24, 34.783, 10043,10111,10156,"BB 10",  27529,  2395144,  1.16,  0.425
25=, 25, 37.353, 10755,10931,11184,"BB 9", 466023, 72181765, 35.08, 12.822
