[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF19.D
1=,INT TIC: 15u_fuyaF19.D\data.ms
[INT TIC: 15u_fuyaF19.D\data.ms]
Time=,Fri Jul 22 16:28:27 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.318, 2884,2945,3058,"BB 5", 802855, 53575675, 19.32,  6.797
2=,  2, 14.429, 3592,3618,3644,"  M5",  43818,  2379319,  0.86,  0.302
3=,  3, 14.576, 3647,3665,3680,"  M5",  15121,   672367,  0.24,  0.085
4=,  4, 15.040, 3761,3813,3901,"BB 4", 210800, 13332971,  4.81,  1.692
5=,  5, 16.863, 4327,4394,4421,"BV 4",  36176,  3154490,  1.14,  0.400
6=,  6, 17.062, 4421,4458,4482,"VV 4", 233670, 16187763,  5.84,  2.054
7=,  7, 17.299, 4482,4534,4599,"VV 4",3844773,277291996,100.00, 35.181
8=,  8, 17.583, 4599,4624,4674,"VV 8", 353425, 26254242,  9.47,  3.331
9=,  9, 17.896, 4674,4724,4872,"VB 5",1406349,109120967, 39.35, 13.844
10=, 10, 20.084, 5369,5422,5427,"  M5",  12715,   820817,  0.30,  0.104
11=, 11, 20.159, 5434,5446,5480,"  M5",  13636,   804250,  0.29,  0.102
12=, 12, 20.331, 5492,5501,5519,"  M5",  10102,   326888,  0.12,  0.041
13=, 13, 20.813, 5621,5655,5693,"  M5",  18875,  1373182,  0.50,  0.174
14=, 14, 22.720, 6222,6263,6267,"  M5",   8656,   357978,  0.13,  0.045
15=, 15, 22.896, 6276,6319,6346,"  M5",  64129,  4773296,  1.72,  0.606
16=, 16, 23.115, 6350,6389,6454,"  M9", 286077, 23703671,  8.55,  3.007
17=, 17, 23.378, 6468,6473,6498,"  M9",  10414,   399613,  0.14,  0.051
18=, 18, 23.699, 6518,6575,6703,"BB 8", 284307, 23504041,  8.48,  2.982
19=, 19, 26.551, 7410,7485,7725,"BB 6",1005790,115096804, 41.51, 14.603
20=, 20, 28.413, 8045,8079,8090,"  M6",   6133,   344521,  0.12,  0.044
21=, 21, 28.880, 8212,8228,8281,"  M6",   9226,   725043,  0.26,  0.092
22=, 22, 29.469, 8332,8416,8553,"BB 6",  85909, 10878116,  3.92,  1.380
23=, 23, 33.764, 9740,9786,9836,"BB 6",  25738,  1896606,  0.68,  0.241
24=, 24, 34.726, 10063,10093,10141,"  M6",  19620,  1464700,  0.53,  0.186
25=, 25, 37.320, 10837,10920,11134,"BV 6", 690443, 99753563, 35.97, 12.656
