[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF17.D
1=,INT TIC: 15u_fuyaF17.D\data.ms
[INT TIC: 15u_fuyaF17.D\data.ms]
Time=,Fri Jul 22 16:21:08 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.318, 2867,2945,3090,"BB 6",1183960, 77262010, 18.58,  7.722
2=,  2, 14.423, 3590,3616,3646,"  M6",  77089,  4327409,  1.04,  0.432
3=,  3, 14.551, 3656,3657,3686,"  M6",  21814,   742510,  0.18,  0.074
4=,  4, 15.038, 3757,3812,3902,"BB 6", 230168, 14900970,  3.58,  1.489
5=,  5, 16.895, 4332,4405,4423,"BV 6", 219567, 15796982,  3.80,  1.579
6=,  6, 17.060, 4423,4458,4485,"VV 10", 600081, 44126185, 10.61,  4.410
7=,  7, 17.324, 4485,4542,4596,"VV 3",5802216,415751828,100.00, 41.552
8=,  8, 17.591, 4596,4627,4676,"VV 10", 410032, 30339472,  7.30,  3.032
9=,  9, 17.897, 4676,4724,4867,"VB 6",1711782,124239824, 29.88, 12.417
10=, 10, 20.040, 5366,5408,5426,"  M6",  17143,  1159451,  0.28,  0.116
11=, 11, 20.186, 5436,5455,5487,"  M6",  19402,  1347987,  0.32,  0.135
12=, 12, 20.322, 5498,5498,5526,"  M6",   9726,   290467,  0.07,  0.029
13=, 13, 20.798, 5628,5650,5700,"  M6",  20998,  1376449,  0.33,  0.138
14=, 14, 22.733, 6216,6267,6269,"  M6",  35699,  1309857,  0.32,  0.131
15=, 15, 22.889, 6273,6317,6343,"  M6", 173648, 14339910,  3.45,  1.433
16=, 16, 23.099, 6348,6384,6454,"  M10", 466339, 42373923, 10.19,  4.235
17=, 17, 23.375, 6465,6472,6505,"  M10",  18815,   951114,  0.23,  0.095
18=, 18, 23.693, 6527,6573,6706,"BB 8", 316646, 27879766,  6.71,  2.786
19=, 19, 26.571, 7387,7492,7706,"BV 9", 736804, 85876794, 20.66,  8.583
20=, 20, 28.400, 8047,8075,8088,"  M9",   8552,   363369,  0.09,  0.036
21=, 21, 28.955, 8207,8252,8278,"  M9",  15239,  1406581,  0.34,  0.141
22=, 22, 29.473, 8313,8417,8550,"BB 10", 119401, 16845122,  4.05,  1.684
23=, 23, 33.800, 9727,9797,9847,"BB 10",  26513,  2348645,  0.56,  0.235
24=, 24, 34.742, 10035,10098,10158,"BB 10",  33314,  2793198,  0.67,  0.279
25=, 25, 37.347, 10816,10929,11205,"BB 9", 399636, 72409499, 17.42,  7.237
