[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF1.D
1=,INT TIC: 15u_fuyaF1.D\data.ms
[INT TIC: 15u_fuyaF1.D\data.ms]
Time=,Fri Jul 22 15:44:31 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.348, 2898,2954,3063,"BB 6", 785251, 51348774, 14.06,  6.147
2=,  2, 14.460, 3598,3628,3659,"  M6",  55232,  2923060,  0.80,  0.350
3=,  3, 14.585, 3660,3668,3699,"  M6",  16402,   723244,  0.20,  0.087
4=,  4, 15.071, 3776,3823,3902,"BB 7", 177583, 10841440,  2.97,  1.298
5=,  5, 16.869, 4346,4396,4432,"BV 7",  61840,  5493173,  1.50,  0.658
6=,  6, 17.103, 4432,4471,4495,"VV 9", 310093, 21583040,  5.91,  2.584
7=,  7, 17.350, 4495,4550,4607,"VV 6",5194555,365111196,100.00, 43.711
8=,  8, 17.622, 4607,4637,4690,"VV 9", 464522, 32492362,  8.90,  3.890
9=,  9, 17.931, 4690,4735,4851,"VB 3",1671816,113742009, 31.15, 13.617
10=, 10, 20.068, 5376,5417,5420,"  M3",  19845,   925829,  0.25,  0.111
11=, 11, 20.200, 5428,5459,5490,"  M3",  29959,  2405044,  0.66,  0.288
12=, 12, 20.363, 5499,5511,5540,"  M3",  15168,   689961,  0.19,  0.083
13=, 13, 20.832, 5612,5661,5714,"BB 3",  26457,  1831922,  0.50,  0.219
14=, 14, 22.764, 6223,6277,6278,"  M3",  17653,   968613,  0.27,  0.116
15=, 15, 22.889, 6281,6317,6351,"  M3", 185262, 13939990,  3.82,  1.669
16=, 16, 23.137, 6354,6396,6473,"VV 10", 835516, 65406776, 17.91,  7.830
17=, 17, 23.448, 6475,6495,6523,"  M10",  15737,   800653,  0.22,  0.096
18=, 18, 23.728, 6527,6585,6713,"BB 6", 344534, 29095040,  7.97,  3.483
19=, 19, 26.590, 7424,7497,7656,"BB 6", 500243, 48726420, 13.35,  5.833
20=, 20, 28.391, 8033,8072,8092,"  M6",  13005,   883092,  0.24,  0.106
21=, 21, 28.897, 8162,8233,8285,"BB 6",  26500,  2563033,  0.70,  0.307
22=, 22, 29.441, 8331,8407,8543,"BV 7", 130670, 17692837,  4.85,  2.118
23=, 23, 33.804, 9768,9799,9850,"  M7",  25828,  1941671,  0.53,  0.232
24=, 24, 34.807, 10040,10119,10169,"BV 7",  27299,  2522797,  0.69,  0.302
25=, 25, 37.363, 10846,10934,11133,"BV 9", 279151, 40637121, 11.13,  4.865
