[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF2.D
1=,INT TIC: 15u_fuyaF2.D\data.ms
[INT TIC: 15u_fuyaF2.D\data.ms]
Time=,Fri Jul 22 15:47:52 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.348, 2895,2954,3059,"BB 6", 882922, 57494422, 15.56,  6.592
2=,  2, 14.464, 3588,3629,3656,"  M6",  64870,  3779537,  1.02,  0.433
3=,  3, 14.620, 3657,3679,3694,"  M6",  23762,  1215144,  0.33,  0.139
4=,  4, 15.078, 3769,3825,3897,"BB 5", 184281, 11325093,  3.07,  1.299
5=,  5, 16.849, 4340,4390,4429,"BV 5",  50510,  3589484,  0.97,  0.412
6=,  6, 17.093, 4429,4468,4495,"VV 10", 295511, 20674428,  5.60,  2.371
7=,  7, 17.352, 4495,4551,4608,"VV 4",5396510,369401353,100.00, 42.356
8=,  8, 17.630, 4608,4639,4690,"VV 10", 559056, 38984324, 10.55,  4.470
9=,  9, 17.932, 4690,4736,4872,"VB 4",1435809,100878431, 27.31, 11.567
10=, 10, 20.042, 5381,5409,5412,"  M4",  16721,   517961,  0.14,  0.059
11=, 11, 20.175, 5428,5451,5481,"  M4",  22327,  1721378,  0.47,  0.197
12=, 12, 20.375, 5502,5515,5540,"  M4",  12575,   610216,  0.17,  0.070
13=, 13, 20.852, 5637,5667,5692,"  M4",  17685,  1063140,  0.29,  0.122
14=, 14, 22.658, 6223,6243,6266,"  M4",   8771,   430190,  0.12,  0.049
15=, 15, 22.912, 6286,6324,6353,"  M4", 106462,  7481401,  2.03,  0.858
16=, 16, 23.141, 6353,6397,6473,"VV 4", 519752, 42109123, 11.40,  4.828
17=, 17, 23.460, 6477,6499,6521,"  M4",  11387,   590086,  0.16,  0.068
18=, 18, 23.724, 6533,6583,6703,"BB 7", 339729, 27728940,  7.51,  3.179
19=, 19, 26.593, 7422,7498,7665,"BB 7", 846155, 79104928, 21.41,  9.070
20=, 20, 28.397, 8031,8074,8107,"  M7",  11538,   932739,  0.25,  0.107
21=, 21, 28.886, 8192,8230,8294,"  M7",  22960,  2404295,  0.65,  0.276
22=, 22, 29.452, 8326,8411,8539,"BB 10", 157856, 20857141,  5.65,  2.391
23=, 23, 33.815, 9754,9802,9866,"  M10",  25873,  2393108,  0.65,  0.274
24=, 24, 34.779, 10036,10110,10174,"BB 10",  45116,  4165326,  1.13,  0.478
25=, 25, 37.356, 10799,10932,11184,"BB 5", 563196, 72687479, 19.68,  8.334
