[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF3.D
1=,INT TIC: 15u_fuyaF3.D\data.ms
[INT TIC: 15u_fuyaF3.D\data.ms]
Time=,Fri Jul 22 15:50:31 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.336, 2891,2951,3069,"BB 5",1037825, 66901494, 18.15,  7.655
2=,  2, 14.457, 3580,3627,3653,"  M5",  72107,  4291756,  1.16,  0.491
3=,  3, 14.601, 3655,3673,3695,"  M5",  24618,  1289788,  0.35,  0.148
4=,  4, 15.060, 3766,3819,3902,"BB 5", 198185, 12434859,  3.37,  1.423
5=,  5, 16.841, 4341,4388,4424,"BV 5",  35791,  2706506,  0.73,  0.310
6=,  6, 17.091, 4424,4467,4490,"VV 9", 286741, 18841957,  5.11,  2.156
7=,  7, 17.333, 4490,4545,4603,"VV 6",5150432,368623258,100.00, 42.177
8=,  8, 17.609, 4603,4633,4685,"VV 8", 465033, 33700950,  9.14,  3.856
9=,  9, 17.916, 4685,4731,4841,"VB 5",1334497, 94012334, 25.50, 10.757
10=, 10, 20.080, 5382,5421,5428,"  M5",  17779,   976405,  0.26,  0.112
11=, 11, 20.200, 5443,5459,5493,"  M5",  18574,  1251948,  0.34,  0.143
12=, 12, 20.375, 5502,5515,5535,"  M5",   9802,   417489,  0.11,  0.048
13=, 13, 20.833, 5628,5661,5703,"  M5",  17865,  1265987,  0.34,  0.145
14=, 14, 22.645, 6212,6239,6258,"  M5",   6855,   333796,  0.09,  0.038
15=, 15, 22.908, 6285,6323,6351,"  M5", 107835,  7610622,  2.06,  0.871
16=, 16, 23.132, 6351,6394,6475,"VV 5", 501101, 40802456, 11.07,  4.669
17=, 17, 23.432, 6478,6490,6508,"  M5",   9307,   267734,  0.07,  0.031
18=, 18, 23.722, 6520,6583,6690,"BB 8", 291040, 23685184,  6.43,  2.710
19=, 19, 26.578, 7419,7494,7695,"BB 5", 938538, 90753087, 24.62, 10.384
20=, 20, 28.356, 8035,8061,8115,"  M5",  10857,   799820,  0.22,  0.092
21=, 21, 28.880, 8191,8228,8288,"  M5",  20160,  2173289,  0.59,  0.249
22=, 22, 29.463, 8323,8414,8520,"BB 5", 112974, 14548816,  3.95,  1.665
23=, 23, 33.814, 9759,9802,9844,"  M5",  23740,  1848859,  0.50,  0.212
24=, 24, 34.773, 10038,10108,10176,"BB 5",  33865,  3108722,  0.84,  0.356
25=, 25, 37.345, 10786,10928,11163,"BV 7", 635320, 81340097, 22.07,  9.307
