[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF15.D
1=,INT TIC: 15u_fuyaF15.D\data.ms
[INT TIC: 15u_fuyaF15.D\data.ms]
Time=,Fri Jul 22 16:18:37 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.325, 2881,2947,3089,"BV 7",1922348,123815866, 20.71,  8.206
2=,  2, 14.443, 3524,3623,3648,"BV 10", 134069,  9185401,  1.54,  0.609
3=,  3, 14.571, 3648,3663,3696,"VV 10",  59626,  3366579,  0.56,  0.223
4=,  4, 15.048, 3748,3816,3912,"BB 7", 433760, 27142363,  4.54,  1.799
5=,  5, 16.866, 4331,4396,4422,"BV 7", 133752, 11571925,  1.94,  0.767
6=,  6, 17.081, 4422,4464,4490,"VV 9", 635786, 47137072,  7.88,  3.124
7=,  7, 17.363, 4490,4554,4603,"VV 5",8183917,597964267,100.00, 39.632
8=,  8, 17.608, 4603,4632,4681,"VV 6", 885524, 57233770,  9.57,  3.793
9=,  9, 17.920, 4681,4732,4877,"VB 4",2436239,161304687, 26.98, 10.691
10=, 10, 20.040, 5364,5408,5440,"  M4",  44572,  4331500,  0.72,  0.287
11=, 11, 20.171, 5441,5450,5485,"  M4",  32680,  1908013,  0.32,  0.126
12=, 12, 20.319, 5491,5497,5533,"  M4",  16708,   923934,  0.15,  0.061
13=, 13, 20.813, 5594,5654,5709,"BB 4",  31243,  2418755,  0.40,  0.160
14=, 14, 22.699, 6208,6256,6265,"  M4",  15407,   810866,  0.14,  0.054
15=, 15, 22.887, 6272,6316,6344,"  M4", 187002, 14069903,  2.35,  0.933
16=, 16, 23.110, 6345,6387,6465,"VV 8", 666105, 54468128,  9.11,  3.610
17=, 17, 23.432, 6467,6490,6510,"  M8",  33018,  2044243,  0.34,  0.135
18=, 18, 23.698, 6517,6575,6709,"VB 7", 519796, 41960998,  7.02,  2.781
19=, 19, 26.561, 7420,7488,7761,"BB 7",1645090,152109579, 25.44, 10.081
20=, 20, 28.353, 8031,8060,8095,"  M7",  10692,   875485,  0.15,  0.058
21=, 21, 28.839, 8189,8215,8277,"  M7",  27391,  2991825,  0.50,  0.198
22=, 22, 29.420, 8318,8400,8554,"BV 8", 264751, 33133961,  5.54,  2.196
23=, 23, 33.777, 9729,9790,9881,"BV 8",  41420,  4303977,  0.72,  0.285
24=, 24, 34.728, 10033,10093,10193,"BV 8",  88422,  8370452,  1.40,  0.555
25=, 25, 37.325, 10819,10922,11187,"BV 7",1238382,145363504, 24.31,  9.634
