[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF6.D
1=,INT TIC: 15u_fuyaF6.D\data.ms
[INT TIC: 15u_fuyaF6.D\data.ms]
Time=,Fri Jul 22 15:57:41 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.333, 2883,2950,3098,"BB 4",2751498,173594909, 19.90,  8.028
2=,  2, 14.446, 3510,3623,3644,"BV 4", 196005, 13009404,  1.49,  0.602
3=,  3, 14.584, 3644,3668,3705,"VV 4", 155438,  9157159,  1.05,  0.423
4=,  4, 15.050, 3754,3816,3941,"BB 7", 711251, 45231208,  5.18,  2.092
5=,  5, 16.864, 4329,4395,4423,"BV 7", 128884, 11204419,  1.28,  0.518
6=,  6, 17.092, 4423,4468,4490,"VV 9", 635585, 47217298,  5.41,  2.183
7=,  7, 17.400, 4490,4566,4604,"VV 7",10708581,872489311,100.00, 40.347
8=,  8, 17.624, 4604,4637,4686,"VV 7",1476356, 89978420, 10.31,  4.161
9=,  9, 17.938, 4686,4738,4869,"VV 2",3784474,233130043, 26.72, 10.781
10=, 10, 20.086, 5341,5423,5445,"BV 2", 114131,  9873594,  1.13,  0.457
11=, 11, 20.164, 5445,5448,5481,"VV 2",  91824,  4710765,  0.54,  0.218
12=, 12, 20.352, 5481,5508,5600,"VV 2", 103379,  8745023,  1.00,  0.404
13=, 13, 20.805, 5600,5652,5733,"PB 8", 101572,  8141645,  0.93,  0.376
14=, 14, 22.736, 6202,6268,6269,"  M8",  78636,  6541163,  0.75,  0.302
15=, 15, 22.865, 6271,6309,6343,"  M9", 478275, 37023591,  4.24,  1.712
16=, 16, 23.117, 6344,6390,6463,"VV 6",2104658,155641263, 17.84,  7.197
17=, 17, 23.419, 6463,6486,6522,"VV 6",  72334,  5814715,  0.67,  0.269
18=, 18, 23.698, 6522,6575,6719,"VB 6", 956305, 74537184,  8.54,  3.447
19=, 19, 26.558, 7409,7487,7660,"BV 6",1559899,125784958, 14.42,  5.817
20=, 20, 28.347, 8013,8058,8065,"  M6",  48497,  3078105,  0.35,  0.142
21=, 21, 28.832, 8148,8213,8318,"BV 6", 170188, 16547721,  1.90,  0.765
22=, 22, 29.370, 8318,8384,8568,"PB 8", 547358, 59644613,  6.84,  2.758
23=, 23, 33.772, 9710,9789,9902,"BV 8", 150669, 16098146,  1.85,  0.744
24=, 24, 34.748, 10031,10100,10230,"BB 9", 150793, 14801814,  1.70,  0.684
25=, 25, 37.326, 10834,10922,11205,"BB 6",1027916,120478039, 13.81,  5.571
