[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF7.D
1=,INT TIC: 15u_fuyaF7.D\data.ms
[INT TIC: 15u_fuyaF7.D\data.ms]
Time=,Fri Jul 22 15:59:50 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.329, 2889,2948,3081,"BB 4",1537735, 97942789, 17.75,  7.277
2=,  2, 14.448, 3458,3624,3648,"BV 10", 119351,  7386815,  1.34,  0.549
3=,  3, 14.583, 3648,3667,3720,"VB 10",  55732,  3353852,  0.61,  0.249
4=,  4, 15.053, 3756,3817,3913,"BB 9", 424129, 26476614,  4.80,  1.967
5=,  5, 16.874, 4331,4398,4427,"BV 9", 121907, 10920651,  1.98,  0.811
6=,  6, 17.081, 4427,4464,4488,"VV 9", 457027, 32446549,  5.88,  2.411
7=,  7, 17.353, 4488,4551,4601,"VV 6",7540139,551674792,100.00, 40.986
8=,  8, 17.605, 4601,4631,4682,"VV 8", 771380, 50697127,  9.19,  3.766
9=,  9, 17.921, 4682,4732,4868,"VB 4",2416467,162307049, 29.42, 12.058
10=, 10, 20.077, 5372,5420,5423,"  M4",  38372,  2010887,  0.36,  0.149
11=, 11, 20.171, 5433,5450,5480,"  M4",  34537,  2531635,  0.46,  0.188
12=, 12, 20.365, 5493,5512,5533,"  M4",  19152,   916049,  0.17,  0.068
13=, 13, 20.817, 5591,5656,5708,"BV 4",  44097,  3110489,  0.56,  0.231
14=, 14, 22.745, 6208,6271,6275,"  M4",  48120,  3344107,  0.61,  0.248
15=, 15, 22.877, 6280,6313,6346,"  M9", 227138, 18273594,  3.31,  1.358
16=, 16, 23.111, 6348,6388,6470,"VV 10", 803626, 65698925, 11.91,  4.881
17=, 17, 23.419, 6472,6486,6518,"  M10",  36551,  2366422,  0.43,  0.176
18=, 18, 23.698, 6524,6575,6751,"VV 6", 574343, 47582125,  8.63,  3.535
19=, 19, 26.568, 7344,7490,7736,"BB 6",1170315,106984126, 19.39,  7.948
20=, 20, 28.398, 8022,8074,8081,"  M6",  21445,  1605952,  0.29,  0.119
21=, 21, 28.880, 8182,8228,8270,"  M6",  29110,  3054879,  0.55,  0.227
22=, 22, 29.408, 8315,8397,8566,"PV 7", 267180, 34096010,  6.18,  2.533
23=, 23, 33.770, 9747,9788,9833,"  M10",  66505,  5857232,  1.06,  0.435
24=, 24, 34.745, 9986,10099,10247,"PB 10",  70263,  7745682,  1.40,  0.575
25=, 25, 37.337, 10828,10926,11190,"BV 8", 711710, 97618386, 17.69,  7.252
