[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF18.D
1=,INT TIC: 15u_fuyaF18.D\data.ms
[INT TIC: 15u_fuyaF18.D\data.ms]
Time=,Fri Jul 22 16:23:24 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.321, 2883,2946,3044,"BB 4", 505112, 33676193, 11.91,  4.190
2=,  2, 14.438, 3596,3621,3641,"  M4",  48176,  2237893,  0.79,  0.278
3=,  3, 14.554, 3656,3658,3677,"  M4",  10214,   238786,  0.08,  0.030
4=,  4, 15.037, 3761,3812,3899,"BB 8", 125044,  8280126,  2.93,  1.030
5=,  5, 16.884, 4331,4401,4419,"BV 8",  52302,  4232488,  1.50,  0.527
6=,  6, 17.059, 4419,4457,4484,"VV 8", 291249, 20957988,  7.41,  2.608
7=,  7, 17.302, 4484,4535,4596,"VV 8",3864586,282859999,100.00, 35.194
8=,  8, 17.587, 4596,4625,4677,"VV 10", 324611, 24926977,  8.81,  3.101
9=,  9, 17.897, 4677,4725,4856,"VB 5",1524672,112872266, 39.90, 14.044
10=, 10, 20.077, 5360,5420,5423,"  M5",  13473,   840383,  0.30,  0.105
11=, 11, 20.175, 5431,5451,5482,"  M5",  21545,  1543313,  0.55,  0.192
12=, 12, 20.324, 5499,5499,5530,"  M5",   8605,   292797,  0.10,  0.036
13=, 13, 20.811, 5621,5654,5694,"  M5",  23130,  1601551,  0.57,  0.199
14=, 14, 22.708, 6208,6259,6264,"  M5",  18935,   932548,  0.33,  0.116
15=, 15, 22.880, 6269,6314,6336,"  M5", 168581, 12943801,  4.58,  1.610
16=, 16, 23.097, 6339,6383,6473,"VV 10", 718619, 64706487, 22.88,  8.051
17=, 17, 23.400, 6475,6480,6516,"  M10",  34862,  1950141,  0.69,  0.243
18=, 18, 23.691, 6521,6573,6723,"VB 8", 421817, 37985361, 13.43,  4.726
19=, 19, 26.566, 7409,7490,7680,"BB 7", 803479, 91780098, 32.45, 11.419
20=, 20, 28.410, 8033,8078,8081,"  M7",  10675,   591973,  0.21,  0.074
21=, 21, 28.914, 8191,8239,8292,"  M7",  25025,  2928126,  1.04,  0.364
22=, 22, 29.448, 8327,8409,8534,"BV 7",  87502, 12038089,  4.26,  1.498
23=, 23, 33.798, 9719,9797,9871,"BB 7",  40533,  4265971,  1.51,  0.531
24=, 24, 34.729, 10072,10094,10138,"  M7",  16746,  1201257,  0.42,  0.149
25=, 25, 37.342, 10845,10927,11211,"BB 6", 457682, 77836103, 27.52,  9.684
