[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF4.D
1=,INT TIC: 15u_fuyaF4.D\data.ms
[INT TIC: 15u_fuyaF4.D\data.ms]
Time=,Fri Jul 22 15:54:09 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.346, 2901,2954,3086,"BB 4",2637029,163538370, 22.84,  9.776
2=,  2, 14.455, 3506,3627,3649,"BV 9", 162134, 10257315,  1.43,  0.613
3=,  3, 14.590, 3649,3669,3706,"VV 9",  93290,  5275573,  0.74,  0.315
4=,  4, 15.057, 3758,3818,3922,"BB 4", 421285, 26600269,  3.72,  1.590
5=,  5, 16.845, 4276,4389,4427,"BV 9", 135869, 10908479,  1.52,  0.652
6=,  6, 17.095, 4427,4468,4493,"VV 10", 536091, 38527749,  5.38,  2.303
7=,  7, 17.397, 4493,4565,4607,"VV 2",9522080,715995520,100.00, 42.802
8=,  8, 17.631, 4607,4640,4689,"VV 7",1329666, 82048120, 11.46,  4.905
9=,  9, 17.936, 4689,4737,4857,"VB 5",2737944,175786702, 24.55, 10.509
10=, 10, 20.068, 5385,5417,5425,"  M5",  32899,  1502721,  0.21,  0.090
11=, 11, 20.156, 5445,5445,5485,"  M5",  28388,  1589797,  0.22,  0.095
12=, 12, 20.374, 5488,5515,5554,"  M5",  26365,  1829605,  0.26,  0.109
13=, 13, 20.815, 5606,5655,5723,"BB 5",  33685,  2781620,  0.39,  0.166
14=, 14, 22.661, 6205,6244,6265,"  M5",  25994,  1935034,  0.27,  0.116
15=, 15, 22.890, 6270,6317,6349,"VV 5", 156235, 12820030,  1.79,  0.766
16=, 16, 23.124, 6349,6392,6467,"VV 8", 772803, 61713249,  8.62,  3.689
17=, 17, 23.441, 6469,6493,6524,"  M8",  44537,  2992327,  0.42,  0.179
18=, 18, 23.710, 6527,6579,6763,"VB 6", 610500, 46744460,  6.53,  2.794
19=, 19, 26.577, 7420,7493,7667,"BV 5",1436010,122703730, 17.14,  7.335
20=, 20, 28.326, 8030,8051,8076,"  M5",  22716,  1405053,  0.20,  0.084
21=, 21, 28.871, 8193,8225,8268,"  M5",  27126,  2282176,  0.32,  0.136
22=, 22, 29.400, 8302,8394,8539,"BV 8", 359799, 39662345,  5.54,  2.371
23=, 23, 33.783, 9731,9792,9921,"PV 8",  98183,  9849862,  1.38,  0.589
24=, 24, 34.753, 10015,10101,10257,"BV 8", 134586, 14193328,  1.98,  0.848
25=, 25, 37.333, 10776,10924,11123,"BV 7",1149619,119860474, 16.74,  7.165
